syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,expr-ops,mul-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,ge-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,le-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-03,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-04,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-06,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-07,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-08,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-09,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-10,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-10b,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,graph,dawg-graph-11,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-03,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-04,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-05,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-06,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-07,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-08,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-09,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-10,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-11,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-eq-12,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,date-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,date-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,date-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,date-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-cmp-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,open-world,open-cmp-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional-filter,dawg-optional-filter-001,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional-filter,dawg-optional-filter-003,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional-filter,dawg-optional-filter-005-simplified,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional-filter,dawg-optional-filter-005-not-simplified,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-complex-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-complex-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-complex-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-complex-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-001,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,optional,dawg-optional-002,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,reduced,reduced-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,reduced,reduced-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,limit-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,limit-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,limit-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,limit-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,offset-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,offset-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,offset-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,offset-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,slice-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,slice-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,slice-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,slice-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,solution-seq,slice-5,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-5,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-7,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-8,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-9,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-10,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-numbers,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-builtin,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,sort,dawg-sort-function,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,triple-match,dawg-triple-pattern-003,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-01,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-02,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-03,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-04,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-05,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-06,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-07,True,True,True,True,True,ASK,False,True,False
